transaction_id,account_id,member_id,transaction_date,transaction_type,amount,merchant_category
253,1,1,10/14/22,Check,103.44,Income
254,1,1,10/13/22,Debit Card,-371.22,Entertainment
255,1,1,10/3/22,Direct Deposit,873.05,Income
256,1,1,9/24/22,Debit Card,-415.73,Restaurant
257,1,1,10/16/22,Debit Card,-246.09,Other
258,1,1,9/29/22,ACH Payment,-395.5,Restaurant
259,1,1,10/14/22,Debit Card,-314.98,Other
260,1,1,10/9/22,Debit Card,-438.28,Grocery
261,1,1,9/26/22,ACH Payment,-481.58,Restaurant
262,1,1,10/12/22,ATM Withdrawal,-40,Gas
263,1,1,10/1/22,ATM Withdrawal,-80,Utilities
264,1,1,9/28/22,Debit Card,-419.66,Entertainment
265,1,1,10/10/22,Check,-42.17,Gas
266,1,1,10/20/22,ACH Payment,-499.98,Grocery
267,1,1,10/7/22,Check,-5.79,Entertainment
268,1,1,10/12/22,ACH Payment,-105.13,Retail
269,1,1,10/13/22,Debit Card,-38.7,Grocery
270,1,1,9/25/22,Direct Deposit,1011.59,Income
271,1,1,9/29/22,ACH Payment,-119.99,Restaurant
272,1,1,9/24/22,ACH Payment,-399.82,Other
273,1,1,10/1/22,ACH Payment,-63.55,Utilities
274,1,1,9/25/22,ACH Payment,-401.09,Grocery
275,1,1,10/10/22,ATM Withdrawal,-100,Grocery
276,1,1,9/27/22,Debit Card,-31.49,Retail
277,1,1,10/9/22,Check,133.84,Income
278,1,1,9/26/22,ACH Payment,-401.16,Restaurant
279,1,1,10/13/22,Debit Card,-72.61,Grocery
280,1,1,11/15/22,Direct Deposit,1576.9,Income
281,1,1,11/12/22,ACH Payment,-215.61,Retail
282,1,1,10/29/22,Debit Card,-210.79,Utilities
283,1,1,10/30/22,Debit Card,-44.14,Entertainment
284,1,1,10/30/22,ACH Payment,-482.83,Other
285,1,1,11/4/22,Check,-92.52,Restaurant
286,1,1,11/16/22,Check,-101.9,Grocery
287,1,1,11/4/22,Debit Card,-188.44,Grocery
288,1,1,11/4/22,ACH Payment,-58.58,Entertainment
289,1,1,10/22/22,Debit Card,-323.33,Entertainment
290,1,1,11/2/22,Direct Deposit,1714.54,Income
291,1,1,10/30/22,ACH Payment,-35.67,Restaurant
292,1,1,11/13/22,Direct Deposit,1713.41,Income
293,1,1,11/2/22,Debit Card,-45.06,Restaurant
294,1,1,11/11/22,ACH Payment,-27.05,Other
295,1,1,11/4/22,Direct Deposit,1135.47,Income
296,1,1,11/15/22,ATM Withdrawal,-40,Grocery
297,1,1,11/14/22,ACH Payment,-311.3,Retail
298,1,1,10/28/22,Debit Card,-230.36,Grocery
299,1,1,11/1/22,Debit Card,-308.01,Entertainment
300,1,1,10/25/22,ACH Payment,-412.96,Retail
301,1,1,10/26/22,Transfer,78.92,Income
302,1,1,10/26/22,Check,-113.6,Grocery
303,1,1,11/18/22,Check,18.24,Income
304,1,1,11/11/22,Debit Card,-35.56,Restaurant
305,1,1,10/23/22,ATM Withdrawal,-20,Other
306,1,1,10/22/22,ACH Payment,-497.03,Utilities
307,1,1,11/4/22,Debit Card,-318.28,Utilities
308,1,1,11/9/22,Check,-1.1,Grocery
309,1,1,10/30/22,Direct Deposit,1327.73,Income
310,1,1,11/10/22,ACH Payment,-277.49,Utilities
311,1,1,11/2/22,Check,-43.95,Retail
312,1,1,11/10/22,ATM Withdrawal,-20,Other
313,1,1,11/12/22,ACH Payment,-302.91,Gas
314,1,1,10/27/22,Direct Deposit,1371.18,Income
315,1,1,11/11/22,ACH Payment,-195.04,Grocery
316,1,1,11/10/22,Direct Deposit,1003.12,Income
317,1,1,11/2/22,ACH Payment,-244.06,Gas
318,1,1,10/25/22,Debit Card,-460.23,Restaurant
319,1,1,10/27/22,Check,74.46,Income
320,1,1,11/8/22,ACH Payment,-32.63,Gas
321,1,1,10/27/22,Debit Card,-12.62,Restaurant
322,1,1,11/15/22,Debit Card,-282.43,Utilities
323,1,1,11/16/22,Direct Deposit,1504.24,Income
324,1,1,10/22/22,Debit Card,-37.44,Entertainment
325,1,1,10/25/22,Check,193.82,Income
326,1,1,10/23/22,Debit Card,-343.8,Entertainment
327,1,1,11/16/22,ATM Withdrawal,-20,Restaurant
328,1,1,10/30/22,ATM Withdrawal,-60,Gas
329,1,1,11/3/22,ATM Withdrawal,-40,Grocery
330,1,1,11/10/22,ACH Payment,-329.45,Retail
331,1,1,11/18/22,Debit Card,-109.75,Restaurant
332,1,1,11/11/22,ACH Payment,-444.6,Retail
333,1,1,10/22/22,Debit Card,-188.93,Retail
334,1,1,10/24/22,ACH Payment,-390.19,Gas
335,1,1,10/28/22,Debit Card,-458.03,Other
336,1,1,11/19/22,ACH Payment,-96.13,Other
337,1,1,11/10/22,Check,-187.28,Other
338,1,1,12/1/22,Debit Card,-173.3,Gas
339,1,1,12/10/22,Debit Card,-150.6,Utilities
340,1,1,11/23/22,Direct Deposit,1472.95,Income
341,1,1,12/6/22,Check,-89.2,Grocery
342,1,1,12/8/22,ACH Payment,-346.76,Utilities
343,4,2,3/30/23,Debit Card,-250.33,Grocery
344,4,2,3/13/23,Direct Deposit,3614.32,Income
345,4,2,4/6/23,Direct Deposit,2620.4,Income
346,4,2,3/23/23,Debit Card,-334.56,Other
347,4,2,3/29/23,Check,-104.64,Other
348,4,2,3/26/23,ACH Payment,-240.39,Other
349,4,2,3/15/23,Debit Card,-285.36,Grocery
350,4,2,3/31/23,ACH Payment,-87.77,Grocery
351,4,2,3/19/23,ACH Payment,-109.91,Other
352,4,2,3/10/23,Debit Card,-492.26,Retail
353,4,2,3/10/23,Direct Deposit,3496.29,Income
354,4,2,4/4/23,Direct Deposit,2793.91,Income
355,4,2,4/2/23,Debit Card,-463.99,Grocery
356,4,2,3/15/23,Transfer,68.4,Income
357,4,2,3/26/23,Debit Card,-455.15,Other
358,4,2,3/9/23,Debit Card,-453.41,Entertainment
359,4,2,3/13/23,Debit Card,-76.67,Utilities
360,4,2,3/17/23,Debit Card,-42.54,Retail
361,4,2,3/14/23,Check,-190.46,Grocery
362,4,2,4/3/23,Check,-143.48,Entertainment
363,4,2,3/20/23,ACH Payment,-398.38,Other
364,4,2,3/29/23,Check,161.24,Income
365,4,2,3/21/23,Debit Card,-308.15,Grocery
366,4,2,3/23/23,ACH Payment,-201.51,Restaurant
367,4,2,4/4/23,ATM Withdrawal,-200,Entertainment
368,4,2,4/2/23,Debit Card,-166.01,Retail
369,4,2,3/26/23,Debit Card,-418.38,Other
370,4,2,4/6/23,ACH Payment,-59.43,Grocery
371,4,2,4/6/23,ACH Payment,-499.81,Other
372,4,2,3/20/23,Debit Card,-256.55,Retail
373,4,2,3/18/23,ACH Payment,-347.36,Grocery
374,4,2,3/16/23,Debit Card,-276.45,Utilities
375,4,2,3/11/23,ACH Payment,-484.84,Retail
376,4,2,3/29/23,Debit Card,-35.24,Grocery
377,4,2,3/10/23,Check,192.29,Income
378,4,2,3/30/23,Debit Card,-438.71,Retail
379,4,2,3/29/23,ATM Withdrawal,-40,Utilities
380,4,2,3/26/23,Direct Deposit,1103.46,Income
381,4,2,4/3/23,Debit Card,-87.78,Entertainment
382,4,2,3/15/23,ACH Payment,-387.86,Grocery
383,4,2,4/5/23,Debit Card,-255.7,Utilities
384,4,2,3/30/23,ACH Payment,-68.73,Restaurant
385,4,2,4/1/23,ACH Payment,-369.25,Restaurant
386,4,2,3/16/23,Debit Card,-477.39,Grocery
387,4,2,3/14/23,Debit Card,-421.67,Other
388,4,2,3/13/23,Direct Deposit,903.38,Income
389,4,2,3/16/23,ACH Payment,-333.08,Other
390,4,2,4/1/23,Debit Card,-329.9,Restaurant
391,4,2,4/18/23,Debit Card,-339.19,Gas
392,4,2,4/26/23,Direct Deposit,2121.85,Income
393,4,2,4/26/23,Debit Card,-269.66,Grocery
394,4,2,4/19/23,ACH Payment,-494.41,Gas
395,4,2,5/6/23,ACH Payment,-67.1,Restaurant
396,4,2,5/5/23,Debit Card,-232.52,Retail
397,4,2,4/27/23,Check,115.8,Income
398,4,2,4/21/23,ACH Payment,-97.36,Restaurant
399,4,2,4/28/23,Debit Card,-314.91,Gas
400,4,2,4/15/23,Debit Card,-281.83,Retail
401,4,2,4/22/23,ACH Payment,-183.35,Retail
402,4,2,4/16/23,Debit Card,-393.1,Entertainment
403,4,2,4/21/23,ACH Payment,-182.3,Other
404,4,2,5/4/23,Check,-41.71,Other
405,4,2,4/29/23,ACH Payment,-381.46,Grocery
406,4,2,4/22/23,Debit Card,-284.23,Restaurant
407,4,2,4/10/23,Debit Card,-116.28,Restaurant
408,4,2,4/8/23,ACH Payment,-346.32,Retail
409,4,2,4/16/23,Check,144.77,Income
410,4,2,4/16/23,Check,-54.5,Retail
411,4,2,4/20/23,ACH Payment,-118.24,Restaurant
412,4,2,4/14/23,Debit Card,-458.56,Entertainment
413,4,2,5/3/23,Debit Card,-435.37,Grocery
414,4,2,4/8/23,Debit Card,-195.16,Retail
415,4,2,4/16/23,ACH Payment,-20.77,Entertainment
416,4,2,4/21/23,ACH Payment,-168.23,Restaurant
417,4,2,4/13/23,Check,79.91,Income
418,4,2,5/3/23,Debit Card,-250.26,Entertainment
419,4,2,4/14/23,ACH Payment,-356.26,Retail
420,4,2,4/29/23,Debit Card,-145.33,Restaurant
421,4,2,4/17/23,Debit Card,-65.2,Other
422,4,2,4/19/23,ATM Withdrawal,-80,Other
423,4,2,4/10/23,ACH Payment,-318.13,Other
424,4,2,4/25/23,ACH Payment,-395.88,Entertainment
425,4,2,5/1/23,Check,-82.75,Utilities
426,4,2,4/12/23,Debit Card,-185.21,Other
427,4,2,5/6/23,ACH Payment,-191.9,Grocery
428,4,2,5/23/23,Debit Card,-84.44,Restaurant
429,4,2,5/30/23,ATM Withdrawal,-20,Other
430,4,2,5/9/23,Direct Deposit,2664.43,Income
431,4,2,6/2/23,Check,157.52,Income
432,4,2,5/8/23,Direct Deposit,1823.92,Income
433,4,2,5/8/23,Debit Card,-346.14,Entertainment
434,4,2,5/27/23,Debit Card,-181.67,Other
435,4,2,6/2/23,ACH Payment,-471.46,Gas
436,4,2,5/10/23,Debit Card,-410.82,Grocery
437,4,2,6/2/23,Debit Card,-81.04,Gas
438,4,2,5/16/23,Debit Card,-341.4,Gas
439,4,2,5/10/23,Debit Card,-8.34,Other
440,4,2,5/18/23,Debit Card,-266.67,Grocery
441,4,2,6/1/23,Direct Deposit,3601.83,Income
442,4,2,5/16/23,ACH Payment,-278.43,Retail
443,4,2,5/12/23,Debit Card,-327.91,Grocery
444,4,2,5/29/23,ACH Payment,-14.07,Grocery
445,4,2,5/10/23,ACH Payment,-330.16,Grocery
446,4,2,5/25/23,ACH Payment,-16.83,Entertainment
447,4,2,5/12/23,Transfer,115.67,Income
448,4,2,5/24/23,Debit Card,-66.94,Utilities
449,4,2,5/13/23,Debit Card,-22.99,Retail
450,4,2,5/15/23,Transfer,96.15,Income
451,4,2,5/27/23,Direct Deposit,3201.6,Income
452,4,2,5/13/23,Debit Card,-326.78,Gas
453,4,2,5/17/23,Direct Deposit,1713.04,Income
454,4,2,5/23/23,Check,185.08,Income
455,4,2,5/21/23,Direct Deposit,3786.08,Income
456,4,2,5/16/23,Debit Card,-399.36,Gas
457,4,2,5/15/23,ACH Payment,-281.36,Other
458,4,2,5/16/23,Debit Card,-449.62,Gas
459,4,2,5/9/23,Direct Deposit,2364.77,Income
460,4,2,5/23/23,ACH Payment,-307.16,Restaurant
461,4,2,5/17/23,Debit Card,-6.73,Gas
462,4,2,7/3/23,Debit Card,-361.15,Grocery
463,4,2,7/5/23,Debit Card,-355.46,Entertainment
464,4,2,6/7/23,Transfer,-122.75,Retail
465,4,2,6/7/23,Debit Card,-413.57,Grocery
466,4,2,6/29/23,ACH Payment,-314.53,Utilities
467,4,2,6/26/23,Check,55.2,Income
468,4,2,6/20/23,Debit Card,-86.37,Utilities
469,4,2,6/7/23,Debit Card,-336.55,Other
470,4,2,6/22/23,ACH Payment,-63.69,Entertainment
471,4,2,7/1/23,Debit Card,-120.82,Gas
472,4,2,6/12/23,Debit Card,-436.72,Restaurant
473,4,2,7/2/23,Debit Card,-95.99,Restaurant
474,4,2,6/15/23,Check,197.7,Income
475,4,2,6/25/23,Direct Deposit,2123.41,Income
476,4,2,6/14/23,Direct Deposit,2958.35,Income
477,4,2,7/5/23,ACH Payment,-487.46,Gas
478,4,2,6/29/23,Debit Card,-368,Grocery
479,4,2,6/17/23,Debit Card,-340.64,Other
480,4,2,6/10/23,Direct Deposit,3083.86,Income
481,4,2,7/4/23,Direct Deposit,3219.01,Income
482,4,2,6/29/23,Debit Card,-192.59,Gas
483,4,2,6/16/23,Debit Card,-48.63,Utilities
484,4,2,6/20/23,ACH Payment,-125.73,Utilities
485,4,2,6/18/23,ACH Payment,-186.82,Grocery
486,4,2,6/27/23,ACH Payment,-15.99,Gas
487,4,2,6/8/23,Direct Deposit,1804.02,Income
488,4,2,6/27/23,ACH Payment,-280.34,Grocery
489,4,2,6/27/23,ACH Payment,-220.04,Entertainment
490,4,2,7/3/23,Direct Deposit,1831.49,Income
491,4,2,6/19/23,Debit Card,-286.69,Utilities
492,4,2,6/13/23,ACH Payment,-371.17,Other
493,4,2,6/26/23,ACH Payment,-202.51,Restaurant
494,4,2,6/13/23,Debit Card,-144.36,Utilities
495,4,2,6/8/23,ACH Payment,-330.42,Entertainment
496,4,2,6/23/23,Direct Deposit,3518.52,Income
497,4,2,6/21/23,Debit Card,-187.04,Retail
498,4,2,7/3/23,Debit Card,-120.71,Gas
499,4,2,7/15/23,ACH Payment,-263.23,Grocery
500,4,2,7/15/23,ACH Payment,-357.76,Grocery
